1 Gou 1ごう
2 Gou 2ごう
3 Gou 3ごう
4 Gou 4ごう
7 Gou 7ごう
Acerola アセロラ
Achotto アチョット
Adelaide アデレード
Agnes アグネス
Aida アイーダ
Airū アイルー
Aisle アイル
Akuriru アクリル
Alan アラン
Albert アルベルト
Allietty アリゲッティ
Amamin アマミン
Amore アモーレ
Amy エーミー
Analog アナログ
Anchovy アンチョビ
Andes アンデス
Anessa アネッサ
Anko あんこ
Anne アンヌ
Anthony アンソニー
Antonio アントニオ
Apollo アポロ
Apple アップル
Appliqué アップリケ
April エイプリル
Apron エプロン
Aria アリア
Arinko アリンコ
Arthur アーサー
Arumi あるみ
Asekusa アセクサ
Assam アッサム
Aurora オーロラ
Azaraku アザラク
Bacchus バッカス
Bachikōme バチコーメ
Bagel ベーグル
Baird ベアード
Bantam バンタム
Barbara バーバラ
Bazurē バズレー
Beefsteak ビフテキ
Ben ベン
Bianca ビアンカ
Billy ビリー
Bindi ビンディ
Binta ビンタ
Bob ボブ
Bolt ボルト
Bon ボン
Borscht ボルシチ
Bouillon ブイヨン
Bouquet ブーケ
Bourgeois ブルジョア
Bow バウ
Boyd ボイド
Brenda ブレンダ
Britney ブリトニー
Broccoli ブロッコリー
Bruce ブルース
Bunjirou ブンジロウ
Bīfun ビーフン
Cain ケイン
Calpi カルピ
Canberra キャンベラ
Candi キャンディ
Caramel キャラメル
Carl カール
Carlos カルロス
Caroline キャロライン
Carrot キャロット
Cassandra カサンドラ
Caviar キャビア
Cervantes セルバンテス
Chachamaru ちゃちゃまる
Chako チャコ
Chamaji チャマジ
Champ チャンプ
Champagne シャンパン
Charmy チャーミー
Chasu チャス
Chauyan チャウヤン
Cheese チーズ
Chelsea チェルシー
Chief チーフ
Chieri ちえり
Chitchi チッチ
Chitose ちとせ
Choco チョコ
Chocolat ショコラ
Choi ちょい
Choki チョキ
Chomoran チョモラン
Chorokichi ちょろきち
Chris クリス
Christine クリスチーヌ
Chuck チャック
Chun'nosuke ちゅんのすけ
Chūbō チューボー
Chūko チューこ
Clara クララ
Claw クロー
Crispy クリスピー
Croco クロコ
Dakko ダッコ
Dangan ダンガン
Darry ダリー
Daruman ダルマン
David ディビッド
De Janeiro デジャネイロ
Delhi デリー
Diana ディアナ
Dogurou どぐろう
Doku ドク
Domigura ドミグラ
Donguri ドングリ
Doremi ドレミ
Dosako ドサコ
Dumbbell ダンベル
Dyke ダイク
Dēsuke デースケ
El Niño エルニーニョ
Epona エポナ
Erefin エレフィン
Esmeralda エスメラルダ
Etekichi エテキチ
Feather フェザー
Fever フィーバー
Fika フィーカ
Foie Gras フォアグラ
Frank フランク
François フランソワ
Frappe フラッペ
Frill フリル
Fruity フルーティー
Fukuko ふくこ
Full Metal フルメタル
Fumitarou ふみたろう
Furara フララ
Gabi ガビ
Gabriel ガブリエル
Gacha ガチャ
Ganon ガノン
Gantetsu ガンテツ
Garigari ガリガリ
Gen げん
Genji ゲンジ
Ginkaku ギンカク
Giupetti ジュペッティ
Gomez ゴメス
Gonzales ゴンザレス
Gonzo ゴンゾー
Graham グラハム
Gummi グミ
Gura グラさん
Gureo グレオ
Gurumin グルミン
Hachi ハチ
Hachimaki はちまき
Hajime はじめ
Hakase ハカセ
Ham Cuts ハムカツ
Hamuji ハムジ
Hamusuke ハムスケ
Hanako ハナコ
Hannah ハンナ
Harimau ハリマオ
Harumaki ハルマキ
Hatchet ハチェット
Henry ヘンリー
Hertz ヘルツ
Hideyoshi ひでよし
Hinoko ヒノコ
Hippocrates ヒポクラテス
Hockey ホッケー
Hoshio ホシオ
Housaku ホウサク
Huge ヒュージ
Hulk ハルク
Hyakupā ヒャクパー
Hyde ハイド
Hyouta ひょうた
Idaho アイダホ
Inotchi イノッチ
Iris アイリス
Isabella イザベラ
Isako いさこ
Isotope アイソトープ
Ittetsu イッテツ
Iwao イワオ
Jack ジャック
Jakoten ジャコテン
Jane ジェーン
Jasmine ジャスミン
Jean ジャン
Jelly ゼリー
Jessica ジェシカ
Jimmy ジミー
Jinpei ジンペイ
Jockey ジョッキー
Joe ジョ
John ジョン
Julia ジュリア
Julie ジュリー
Jun ジュン
Jūbē ジュウベエ
Kabukichi かぶきち
Kajirou カジロウ
Kakkun カックン
Kamaboko カマボコ
Kamomi カモミ
Kan'yu かんゆ
Kanroku カンロク
Ken けん
Kenta ケンタ
Keromi ケロミ
Ketchup ケッチャプ
Kids キッズ
King キング
Kinkaku キンカク
Kinzou きんぞう
Kit キット
Kizanohomare キザノホマレ
Koharu こはる
Koji コージィ
Komachi こまち
Koyuki コユキ
Kumarosu クマロス
Kurobē クロベエ
Kurubushi くるぶし
Kusukecha クスケチャ
Kutchane クッチャネ
L'Amour ラムール
Laramie ララミー
Lasagna ラザニア
Leila レイラ
Lillian リリアン
Lily リリィ
Linda リンダ
Lionel ライオネル
Lobo ロボ
Loose ルーズ
Lotta ロッタ
Lucky ラッキー
Lucy ルーシー
Lulu ルル
Luna ルナ
Madam Rosa マダムローザ
Maguro マグロ
Makiba Star マキバスター
Makiba まきば
Makoto マコト
Mamoru マモル
Mantarou まんたろう
Maple メープル
March マーチ
Margaret マーガレット
Maria マリア
Marie マリー
Marilyn マリリン
Marimo まりも
Marron マロン
Martha マーサ
Marty マーティー
Maruko マルコ
Masa マサ
Masukarasu マスカラス
Maurice モーリス
May メイ
Medli メドリ
Megumi めぐみ
Melbourne メルボルン
Meow ミャウ
Meriyasu メリヤス
Merle マール
Michiru みちる
Mikatchi みかっち
Mike マイク
Milk ミルク
Mimyi ミミィ
Mint ミント
Mirako ミラコ
Miranda ミランダ
Misaki みさき
Misuzu みすず
Mitsuo みつお
Miyabi みやび
Mizore みぞれ
Mohair モヘア
Mojimoji モジモジ
Mommy マミィ
Momochi モモチ
Momoko ももこ
Monica モニカ
Monja もんじゃ
Monko モンこ
Monpe モンペ
Mosakichi モサキチ
Muscle マッスル
Mū ムー
Nadia ナディア
Nagisa なぎさ
Nakkī ナッキー
Natalie ナタリー
Natasha ナタシャ
Nelson ネルソン
Nezuko ネズこ
